qty_laptop_cart,qty_mobile_cart,spent_laptop_cart,spent_mobile_cart,orders_with_laptop,orders_with_mobile,spent_laptop_orders,spent_mobile_orders,has_both_in_cart,has_mixed_order,days_since_customer_created,recency_laptop,recency_mobile,label
4,1,88528224,5501714,1,1,19520479,9781884,1,1,502,74,10,both
5,2,114471045,18216048,0,0,0,0,1,0,522,24,55,both
2,1,25887358,6262440,1,1,17391622,11270352,1,1,276,51,5,both
2,2,41952572,21849484,1,0,20352639,0,1,0,100,79,36,both
5,5,112437490,51948605,1,1,13933829,9480105,1,1,69,2,52,both
3,4,38466588,25380284,2,0,51228128,0,1,0,120,62,44,both
1,5,16819112,46614860,1,2,13681377,24213314,1,1,158,26,71,both
2,1,47741600,8395705,1,1,19554269,9336754,1,1,213,74,30,both
0,0,0,0,0,0,0,0,0,0,738,77,48,mobile
3,4,45857265,37981832,3,2,60046506,20867128,1,1,785,54,85,both
2,2,48513474,10591782,3,3,55017717,29517348,1,1,518,2,90,both
1,5,12902536,45913975,2,0,34966370,0,1,0,185,60,79,both
5,5,88369775,44935400,3,3,64284702,20147208,1,1,689,34,27,both
0,3,0,31502772,0,3,0,26740269,0,0,603,78,58,mobile
2,5,47684456,43546775,2,3,40832898,19168107,1,1,275,67,77,both
3,5,37677441,29280590,0,1,0,11236853,1,0,272,70,34,both
2,3,41474514,31320408,2,1,49585604,6425359,1,1,359,43,61,both
0,1,0,6547882,0,0,0,0,0,0,83,61,11,mobile
4,0,58114084,0,0,0,0,0,0,0,693,72,72,laptop
0,3,0,32647995,0,0,0,0,0,0,410,19,64,mobile
4,1,98890004,5390107,1,1,20839971,6339512,1,1,306,18,90,both
2,0,27837176,0,1,0,22121015,0,0,0,91,29,68,laptop
3,1,55884246,7230663,0,1,0,7292761,1,0,626,74,61,both
4,4,87740464,26132280,0,1,0,12203687,1,0,766,37,78,both
2,3,36047298,16625181,3,3,65745393,30873705,1,1,339,21,19,both
0,1,0,10594313,0,1,0,6627074,0,0,626,18,80,mobile
1,4,19209231,22709464,0,0,0,0,1,0,139,27,41,both
5,3,76698545,30991758,2,0,35505522,0,1,0,355,37,57,both
2,2,27498936,19254446,3,1,39357579,12708512,1,1,420,32,84,both
0,0,0,0,0,0,0,0,0,0,796,76,73,mobile
1,4,15853530,22553316,1,1,21711142,12053709,1,1,553,56,53,both
4,5,48105788,26698785,0,2,0,24999196,1,0,382,2,14,both
3,5,36597153,42634830,2,2,33962672,25499430,1,1,556,6,78,both
