javaProg,pythonProg,dataStructure,softwareAnalysisDesign,intelligenceSystemDev,peer1,peer2,peer3,peer4,peer5,peer6,peer7,peer8,peer9,peer10,peer_mean,peer_std,peer_mean_graph,FinalExam
8,8,5,10,8,5,9,6,7,5,5,10,7,10,5,6.9,1.972308292331602,7.0188340762211165,7.7148078591723
5,4,7,7,7,6,10,10,10,5,6,7,4,7,6,7.1,2.071231517720798,7.032629773512475,5.959736015145933
8,4,8,10,8,8,10,7,8,8,6,6,10,4,9,7.6,1.8,7.028089019932393,7.290995063654178
4,4,10,4,4,5,7,6,7,9,9,10,8,10,5,7.6,1.8,7.035044627153918,5.110827483662032
7,10,6,6,4,4,7,5,4,7,5,6,7,5,9,5.9,1.5132745950421556,7.016410251270027,6.990917726159744
6,6,4,6,8,4,5,6,10,7,7,7,6,4,7,6.3,1.676305461424021,7.031970880721181,6.241359599625986
5,10,5,4,7,4,5,9,9,4,4,9,7,8,8,6.7,2.0999999999999996,7.023092163505359,5.876205874986053
10,4,7,5,4,6,10,9,9,6,8,5,7,7,5,7.2,1.6613247725836149,6.995568853897521,6.764098110191388
10,10,9,8,6,5,8,6,5,6,10,4,7,8,7,6.6,1.6852299546352716,7.001996363882038,8.374133734727387
7,9,6,6,4,8,4,7,4,8,5,10,7,4,9,6.6,2.1071307505705477,7.014761036288709,7.084899825796023
6,8,10,9,6,7,7,7,6,4,4,7,5,7,6,6.0,1.1832159566199232,7.032133833944357,7.0799006058846246
4,8,5,10,10,8,6,5,7,4,10,9,7,5,4,6.5,1.9621416870348585,7.0448717858399075,6.580509417269264
9,10,6,4,10,6,8,8,10,7,6,10,9,9,10,8.3,1.4866068747318506,7.032516119958044,8.134302389977288
10,5,5,7,8,5,8,6,7,4,7,7,6,8,6,6.4,1.2,7.019312709952361,7.633668733401951
6,10,10,4,7,4,10,6,5,7,8,9,4,9,7,6.9,2.0223748416156684,7.039240498903753,6.680155154023376
8,7,9,8,10,6,9,5,6,7,9,10,4,9,10,7.5,2.0615528128088303,7.033927469555051,8.083216975832913
10,8,10,6,8,10,9,8,9,7,10,4,7,5,6,7.5,1.9621416870348585,7.008858733432673,8.317416823401985
7,8,10,6,6,9,8,4,8,8,8,9,4,4,10,7.2,2.181742422927143,7.026020682076199,7.164059316525417
9,7,5,5,8,8,10,10,6,9,9,7,10,9,8,8.6,1.2806248474865698,7.013344784070247,7.794968647047194
9,4,8,9,7,5,8,4,9,9,7,10,5,9,7,7.3,1.9519221295943134,7.027242072132674,6.770446244837228
7,7,7,7,9,7,5,8,8,8,6,10,10,8,5,7.5,1.6881943016134133,7.021331192052389,7.469768108940915
9,6,5,10,7,6,10,8,6,5,8,4,9,5,7,6.8,1.8330302779823362,7.020646932539128,7.6725966221665365
4,10,9,4,4,7,5,7,10,5,4,5,8,8,6,6.5,1.746424919657298,7.018434770402723,6.437956408042874
4,6,9,4,7,7,9,7,10,5,9,9,7,9,9,8.1,1.445683229480096,7.028609382614164,6.161826878146457
8,4,6,10,9,8,4,5,7,8,10,10,6,9,9,7.6,1.9595917942265424,7.0313759798147375,7.2524295332924495
6,4,9,8,4,7,4,4,7,7,8,10,7,10,6,7.0,1.9493588689617927,7.036842098985869,6.028105488284908
6,5,7,10,6,10,8,9,9,10,9,9,5,6,8,8.3,1.552417469626002,7.0235151472584745,6.66596137301052
9,4,7,4,9,8,9,4,8,6,7,6,9,9,5,7.1,1.7,7.012427177657837,6.727550874421559
4,5,7,7,9,10,8,10,10,8,8,9,8,4,4,7.9,2.118962010041709,7.032813554554027,6.079132441532544
10,5,6,4,8,7,8,5,7,9,8,4,5,7,5,6.5,1.5652475842498528,7.015217384949985,6.694809992466416
4,4,6,4,5,8,6,5,5,9,4,8,5,8,4,6.2,1.7776388834631176,7.028751567429064,4.554130280457686
5,7,9,10,8,9,8,10,4,4,7,9,9,10,8,7.8,2.08806130178211,7.039721249449672,7.16567525832611
4,4,6,9,5,6,10,7,9,4,9,10,6,5,5,7.1,2.118962010041709,7.050553870039724,5.755835836894318
8,7,5,9,10,9,9,7,9,6,9,8,10,6,7,8.0,1.3416407864998738,7.026657258796433,7.738904689491952
7,10,6,6,4,8,8,10,5,6,10,8,7,10,5,7.7,1.8466185312619388,7.015091569952313,7.3657279565683
10,9,8,7,5,8,10,6,5,6,6,6,10,5,10,7.2,1.98997487421324,7.008698672923662,7.642667203777126
9,9,6,10,4,10,10,8,9,4,8,5,4,4,4,6.6,2.4979991993593593,7.024063109443723,7.921438462934414
4,7,6,9,8,9,10,7,5,9,9,7,4,10,7,7.7,1.9519221295943134,7.045348116423074,6.3076451224059396
6,7,7,6,7,7,9,5,6,10,7,10,7,4,10,7.5,2.0615528128088303,7.025475143631037,6.8754964921189705
6,5,6,10,6,4,9,4,10,8,10,7,4,5,8,6.9,2.3430749027719964,7.027588379401772,6.778198251306254
7,10,7,4,4,9,6,7,7,5,6,6,9,9,8,7.2,1.4000000000000001,7.021329358113763,6.458503518479125
10,5,4,6,7,7,4,9,5,5,5,10,9,9,5,6.8,2.1354156504062622,7.020137097669118,6.5728421587250105
4,4,5,10,10,9,10,4,4,8,7,4,8,6,7,6.7,2.0518284528683193,7.035776602031802,5.87349499815981
9,5,6,10,7,4,10,6,8,4,4,9,6,4,5,6.0,2.1447610589527217,7.022192328835111,7.5095166107844635
5,4,7,7,4,10,9,9,4,10,9,7,6,7,8,7.9,1.8138357147217055,7.027206472042749,5.4971483236064795
5,4,9,7,8,7,10,5,9,10,9,5,9,7,8,7.9,1.7578395831246947,7.036564499617557,6.421438435383913
8,6,10,4,4,4,5,7,10,7,7,4,6,9,9,6.8,1.98997487421324,7.006696927347678,6.305538819492699
6,6,6,7,9,10,8,10,6,9,8,10,8,7,5,8.1,1.6401219466856725,7.03291759152209,7.003502377802582
4,7,6,4,7,7,4,9,8,10,5,10,9,8,8,7.8,1.8867962264113207,7.015039196710591,6.020085242252945
9,7,9,6,9,7,5,5,9,8,5,5,10,9,7,7.0,1.8439088914585775,7.027684267540517,8.076663905463338
4,6,4,8,5,10,10,6,4,6,5,8,4,4,8,6.5,2.247220505424423,7.036514880003051,5.471604206183918
9,5,5,9,6,4,8,4,10,9,9,6,10,4,7,7.1,2.3430749027719964,7.01684004745329,6.999385431234531
8,4,7,4,7,8,10,4,9,9,8,7,4,4,7,7.0,2.1447610589527217,7.019664962112405,6.05896532660969
4,9,8,7,10,7,7,9,8,10,7,8,6,4,4,7.0,1.8439088914585775,7.030472848484699,6.965923485068316
6,4,4,7,6,5,6,10,7,7,10,9,6,7,5,7.2,1.7776388834631176,7.0323111390932596,5.586331278097797
6,9,10,9,9,8,4,6,4,8,6,8,7,10,7,6.8,1.7776388834631178,7.029707107088112,8.096867703253798
9,9,9,8,6,10,7,8,8,8,4,8,7,5,8,7.3,1.6155494421403513,7.02044784500858,7.925074248523101
9,6,6,5,8,5,10,7,8,4,4,10,5,9,4,6.6,2.3748684174075834,7.016536657817713,6.785938820534347
9,4,7,10,4,4,4,7,4,6,8,10,4,9,9,6.5,2.29128784747792,7.020979012796062,6.90963285103089
8,7,8,6,7,4,4,6,4,4,8,9,6,9,6,6.0,1.9493588689617927,7.022324508238462,7.076259222564353
6,4,4,7,7,9,4,9,9,6,10,5,6,6,6,7.0,1.9493588689617927,7.0337159203488415,5.4565136742236025
9,8,9,8,9,7,10,7,7,6,5,6,4,5,7,6.4,1.5620499351813308,7.0199052091114265,8.021423668057587
6,7,4,8,8,9,9,10,8,10,5,7,5,5,9,7.7,1.9519221295943134,7.0316070437631595,6.714505409995301
4,9,8,10,6,6,4,8,7,5,8,5,9,4,9,6.5,1.857417562100671,7.035319888663166,7.1344632347004335
7,4,7,10,8,8,7,5,4,9,8,9,5,5,7,6.7,1.7349351572897471,7.0337818647069525,6.766545429227956
8,10,4,6,5,4,6,9,5,8,9,7,7,5,5,6.5,1.6881943016134133,7.005892693926214,7.01534580054113
4,5,10,9,5,5,10,6,5,9,9,10,10,4,8,7.6,2.244994432064365,7.039952988202172,6.264107856735123
6,9,5,10,9,5,9,10,9,9,10,6,10,10,8,8.6,1.6852299546352716,7.027295279547315,8.019404652199974
10,5,10,6,5,10,7,10,9,5,9,8,7,10,6,8.1,1.7,6.998238334716852,6.867019810019368
5,5,4,4,4,4,10,5,4,6,8,8,6,9,6,6.6,1.9595917942265426,7.017433741956159,4.919404516274463
6,9,10,8,5,10,5,7,10,10,10,4,4,8,10,7.8,2.4819347291981715,7.034717246217096,7.689976308029986
10,5,6,5,4,9,8,5,6,4,10,5,8,8,4,6.7,2.051828452868319,7.004658070362085,6.295844933094408
8,7,5,10,4,8,9,8,7,6,8,7,5,8,9,7.5,1.2041594578792296,7.008578425646585,7.027005763103781
7,8,7,4,9,5,10,8,4,7,7,4,6,10,9,7.0,2.1447610589527217,7.025267534467739,7.150080926669245
9,7,6,10,10,7,5,9,7,10,6,10,5,10,9,7.8,1.9390719429665315,7.029876970975503,8.087267702024489
7,5,5,10,10,5,4,8,4,9,8,4,8,7,10,6.7,2.147091055358389,7.025048916805234,6.918987472576627
9,6,4,5,10,5,8,7,10,10,6,4,6,9,7,7.2,1.9390719429665317,7.03423516437645,7.00405466041585
9,8,9,5,5,6,6,10,7,10,5,8,9,9,4,7.4,2.009975124224178,7.0074346905509515,6.613889792957147
9,4,7,5,9,10,8,4,9,8,6,5,6,5,10,7.1,2.071231517720798,7.021331189237102,6.257900412675228
10,9,6,7,8,7,4,4,7,8,7,10,9,7,5,6.8,1.8867962264113207,7.012765953058344,8.171174981817943
4,8,7,7,7,9,7,4,6,5,10,5,8,6,5,6.5,1.857417562100671,7.032795152859338,6.222551783554466
8,10,7,9,8,7,5,5,5,8,5,5,8,9,6,6.3,1.4866068747318506,7.019190676260459,8.031554185939592
7,9,10,6,10,10,9,4,8,8,5,5,10,4,5,6.8,2.315167380558045,7.034231097276953,7.541619306910627
7,8,5,7,5,7,5,5,7,4,7,8,7,6,8,6.4,1.2806248474865698,7.010738251672706,6.577756883848412
9,6,4,10,6,5,10,8,4,4,7,8,5,4,9,6.4,2.1540659228538015,7.018330458676134,7.451221376424689
7,5,10,5,8,5,9,6,9,4,7,6,8,5,4,6.3,1.7916472867168916,7.035379056292145,6.54017797762924
5,8,9,10,10,6,6,4,8,8,7,10,9,8,7,7.3,1.6155494421403513,7.031616882562702,7.880682619614284
4,7,8,4,5,9,6,4,8,7,6,8,5,10,6,6.9,1.7578395831246945,7.018330458676135,5.559427806423414
5,4,10,5,9,8,6,4,4,10,4,9,5,4,5,5.9,2.1656407827707715,7.02121572464694,5.8326085915252355
9,4,8,8,4,4,9,6,8,8,4,8,4,4,10,6.5,2.247220505424423,7.020140098931575,6.745029531145821
8,10,10,8,9,7,7,10,7,5,7,4,9,9,6,7.1,1.7578395831246945,7.026486480156315,8.560072149330907
8,10,6,7,5,7,9,7,6,9,4,5,10,10,10,7.7,2.1,7.023025102864037,7.33929942825474
6,8,9,4,8,7,9,9,6,4,8,9,5,6,9,7.2,1.7776388834631178,7.016989659549749,6.735515316649673
9,7,8,10,4,9,6,6,7,9,8,5,4,4,8,6.6,1.8,7.024362134136325,7.4323803834620445
9,9,9,7,8,6,6,6,9,6,6,9,9,8,7,7.2,1.32664991614216,7.018321039694658,8.541837400383633
7,5,5,8,10,9,5,6,7,4,8,7,9,6,6,6.7,1.5524174696260025,7.028008439811396,6.297723834233036
7,4,9,9,8,6,7,6,9,7,6,4,4,5,6,6.0,1.4142135623730951,7.0433590955422645,6.927977399236754
10,5,5,9,8,6,7,7,10,6,5,6,9,7,6,6.9,1.445683229480096,7.018548381436652,7.270298269362086
7,5,7,10,5,7,6,8,7,5,8,9,6,10,9,7.5,1.5,7.018449707227129,6.567188960187467
5,6,5,4,8,7,8,9,5,10,7,8,9,8,8,7.9,1.3,7.030905072089105,5.745987744403973
8,7,10,5,4,9,4,6,7,7,10,10,10,7,8,7.8,1.8867962264113207,7.004448240372584,7.29845858471298
7,6,7,7,5,10,9,6,5,7,9,6,6,4,9,7.1,1.9209372712298547,7.017581964337057,6.359260430866696
6,7,4,4,8,7,10,8,10,6,6,5,10,4,6,7.2,2.08806130178211,7.024777442859955,5.575775395144343
6,6,8,7,6,6,8,8,5,9,5,5,8,10,10,7.4,1.9078784028338913,7.0271484347550155,6.279874716287731
4,4,5,6,7,10,9,8,4,7,7,4,10,7,9,7.5,2.0615528128088303,7.046964580904752,5.3051945121771995
8,8,7,10,9,8,7,9,8,9,4,5,4,7,8,6.9,1.8138357147217055,7.025748125295673,7.591424018925824
5,8,6,5,6,9,7,7,5,10,7,5,8,8,9,7.5,1.5652475842498528,7.021128945095221,6.378101116044187
10,4,5,8,5,10,5,4,8,10,9,4,8,8,9,7.5,2.202271554554524,7.017221128163189,6.4704486808604385
5,5,9,5,6,9,6,7,7,4,7,4,10,8,6,6.8,1.8330302779823362,7.021390008757495,5.658869617104792
4,10,7,5,8,6,8,9,5,5,7,9,4,10,6,6.9,1.9209372712298547,7.031628297500741,6.745281370129295
5,8,6,8,7,7,8,9,6,4,4,5,7,8,6,6.4,1.624807680927192,7.028948523084495,6.45465151721415
4,8,8,4,7,10,4,6,8,6,7,5,6,9,5,6.6,1.8,7.0171969643809105,5.615065806750562
5,8,4,6,4,8,5,6,6,9,4,9,6,10,5,6.8,1.9390719429665317,7.017299199455164,5.801204685271705
6,7,5,4,10,9,9,10,10,10,4,6,6,8,4,7.6,2.2891046284519194,7.041349474877724,6.254284983540267
10,9,8,7,4,8,8,8,7,8,9,5,9,9,6,7.7,1.2688577540449522,6.996697707877478,8.294338430479565
10,8,10,4,6,7,8,6,4,4,6,5,6,6,7,5.9,1.2206555615733703,7.016013429993268,7.680262830441192
4,9,4,4,9,4,4,8,9,6,6,5,10,10,4,6.6,2.33238075793812,7.036686380123248,6.051797549177555
7,4,9,8,6,5,7,8,5,4,7,6,7,9,5,6.3,1.4866068747318506,7.023190179740373,6.477217853290473
6,4,7,7,8,4,5,6,10,6,4,9,8,7,7,6.6,1.9078784028338915,7.0319349727152956,6.041496521907175
4,6,7,4,10,6,5,10,5,9,8,5,7,10,5,7.0,2.0,7.030439323189915,5.745505740461377
7,9,10,7,6,10,8,7,10,5,7,6,6,9,6,7.4,1.6852299546352716,7.023131668432308,7.149480961040485
5,10,8,8,6,5,8,7,10,4,6,6,4,10,10,7.0,2.280350850198276,7.028255368502997,7.138131948056721
7,4,7,6,8,4,10,5,10,7,10,6,8,5,5,7.0,2.23606797749979,7.033051738630907,6.041722970355294
7,8,10,4,10,10,8,8,9,8,10,10,4,6,9,8.2,1.8330302779823358,7.0354430305533295,7.418715854898018
8,8,5,5,10,10,4,9,6,9,4,7,10,6,5,7.0,2.23606797749979,7.026216407388366,7.152547839622577
9,10,5,8,6,6,6,6,7,10,4,10,5,4,9,6.7,2.147091055358389,7.00796201095109,7.676644165061583
10,8,6,6,5,9,9,4,8,7,8,10,9,7,4,7.5,1.9621416870348585,7.003126989787411,7.710323795313767
10,7,4,5,5,9,4,7,4,4,5,10,8,8,8,6.7,2.1470910553583886,7.009150936783823,6.529365975607377
7,4,8,9,10,6,5,9,9,9,8,10,8,10,5,7.9,1.8138357147217055,7.0381078629194445,7.02272055497654
9,8,5,4,5,10,4,8,9,4,8,7,6,8,7,7.1,1.8681541692269403,7.013116051658888,6.690151766962812
6,5,5,8,8,5,7,5,8,5,7,10,6,4,4,6.1,1.8138357147217055,7.034679954336477,6.464907918527253
8,9,6,8,4,6,9,4,8,9,8,7,7,9,9,7.6,1.5620499351813308,7.021573599605597,7.420741620086133
9,7,4,10,10,9,9,5,10,9,10,9,7,8,10,8.6,1.4966629547095764,7.022926820703747,8.111967156667529
4,8,7,7,9,7,4,5,5,8,9,7,4,7,9,6.5,1.8027756377319946,7.030832836957569,6.704031125850148
7,10,6,8,7,9,6,7,8,7,5,4,10,8,6,7.0,1.7320508075688772,7.023484066277758,7.434056637423328
9,10,6,5,5,4,4,10,5,5,5,8,7,4,7,5.9,1.9209372712298547,7.009607680536743,7.458223612165086
6,10,9,6,8,7,5,7,4,4,9,6,8,7,8,6.5,1.6278820596099706,7.034154240418566,7.444763499715377
8,5,7,9,5,8,8,10,9,8,9,4,10,7,9,8.2,1.6613247725836149,7.012930073799706,7.356955440695285
7,7,8,10,4,6,8,10,6,4,4,5,8,5,10,6.6,2.154065922853802,7.022151893795957,6.988640299627405
10,4,6,8,7,6,7,5,4,8,6,9,10,10,4,6.9,2.1656407827707715,7.02226224277935,7.004219002387171
9,4,10,7,4,9,10,7,8,7,10,7,10,8,8,8.4,1.2,7.02152520661559,7.0866150031465205
4,4,9,8,9,9,7,6,9,8,4,10,9,5,6,7.3,1.9000000000000001,7.029979245819523,6.136298216830727
5,7,8,8,8,10,9,8,8,6,5,9,9,7,4,7.5,1.857417562100671,7.036731025129444,7.025883515611718
10,8,9,8,6,8,9,9,10,10,9,5,4,9,6,7.9,2.0223748416156684,7.014404074560607,8.18048800397419
7,8,7,6,6,8,7,10,6,8,10,5,10,4,4,7.2,2.2715633383201093,7.021436713408802,6.602408712489896
7,4,5,10,4,8,6,7,5,8,5,4,9,9,7,6.8,1.6613247725836149,7.028718527427097,6.577002904061017
4,9,10,10,4,5,8,7,10,10,6,9,8,5,7,7.5,1.746424919657298,7.050263607996023,7.568998060587992
8,9,9,6,10,8,7,7,7,5,8,4,4,5,10,6.5,1.857417562100671,7.024161068587499,7.441453443150081
4,6,7,5,9,5,9,7,8,8,6,6,4,6,6,6.5,1.4317821063276353,7.026319439565057,5.924772440838961
7,7,8,5,7,4,9,10,4,10,6,8,6,7,10,7.4,2.244994432064365,7.021621618702031,6.935615906279004
7,5,5,7,5,10,7,7,9,5,7,10,8,10,10,8.3,1.676305461424021,7.019063001066739,6.372977013996565
7,7,8,4,7,9,5,5,7,6,10,4,6,6,5,6.3,1.7916472867168918,7.026545082560008,6.850215394641242
6,9,10,4,4,5,9,9,5,8,8,4,5,7,9,6.9,1.8681541692269403,7.0260705201182985,6.2574219476175506
4,8,7,8,7,5,8,5,8,5,10,7,4,10,7,6.9,2.0223748416156684,7.03890051987492,6.344899761973024
8,8,9,6,8,8,9,9,6,7,5,4,5,5,7,6.5,1.6881943016134133,7.021169256472811,7.468351847877926
9,5,6,8,10,4,6,10,5,4,6,10,5,4,10,6.4,2.4576411454889016,7.035472237177021,7.468859473455633
4,5,5,9,5,7,9,9,5,5,10,4,9,5,6,6.9,2.071231517720798,7.035974492681261,5.935065559151954
6,8,8,10,4,5,9,8,9,6,4,6,8,8,5,6.8,1.7204650534085253,7.02206106334194,6.783608616336882
9,4,5,10,4,5,9,7,6,9,7,9,8,5,5,7.0,1.61245154965971,7.030570642621507,6.326820846036721
6,8,5,10,4,9,5,4,9,8,10,9,9,5,8,7.6,2.0099751242241783,7.01691239634266,7.085237784569924
9,6,6,4,8,9,5,6,8,7,4,7,10,8,9,7.3,1.7916472867168918,7.012797423142894,6.83519871379283
4,5,4,6,10,5,10,8,4,8,10,5,7,6,7,7.0,1.9493588689617927,7.0367684388845175,5.645464042950498
4,8,10,9,7,5,10,5,4,8,8,7,10,6,6,6.9,1.9723082923316022,7.039689381329,7.1393265661525955
4,8,10,8,9,4,5,4,8,9,9,9,5,4,10,6.7,2.3685438564654024,7.036055039416462,6.735890323253349
6,8,10,8,8,7,8,9,10,6,4,8,8,6,6,7.2,1.661324772583615,7.024433102593858,7.388196844768282
8,5,5,6,4,6,9,9,4,6,7,8,6,8,5,6.8,1.6,7.027851639588626,6.222315486239531
8,9,4,9,4,10,5,6,8,10,5,6,8,6,9,7.3,1.8466185312619388,7.00964566239208,7.065447110403834
6,8,8,7,9,8,5,6,5,6,4,5,5,7,10,6.1,1.7,7.024549546385337,6.895637923491079
4,4,5,7,10,9,5,8,10,6,4,8,10,8,8,7.6,1.9078784028338915,7.018555408445136,5.77174668546072
10,5,5,5,9,8,10,4,7,9,5,10,8,5,10,7.6,2.1540659228538015,7.018952374267663,7.16412943999463
9,6,6,5,7,5,8,7,10,5,6,5,9,8,4,6.7,1.9,7.015861023657672,6.399219351305644
4,9,7,8,9,5,7,6,6,4,9,4,9,5,8,6.3,1.7916472867168918,7.0319522422528395,6.9737808485544726
9,6,4,4,10,7,6,4,7,9,8,6,6,9,8,7.0,1.4832396974191326,7.031713545995251,6.886626448036323
10,10,10,8,8,6,8,6,5,9,8,7,5,10,7,7.1,1.57797338380595,7.003745735523557,8.625723308169029
9,5,6,6,10,9,6,10,7,5,10,10,8,4,7,7.6,2.0591260281974,7.032964596583358,7.700998046469527
9,7,5,9,5,4,9,7,7,8,6,5,5,5,9,6.5,1.6881943016134133,7.022721514542582,7.004090407702895
5,5,9,10,6,10,6,4,5,4,6,9,6,8,10,6.8,2.181742422927143,7.038675382633954,6.6964758344149455
6,10,5,7,4,5,9,8,5,6,6,7,7,6,6,6.5,1.2041594578792296,7.014789910071603,6.784917568176057
9,4,10,7,9,4,10,4,10,8,7,7,6,6,8,7.0,2.0,7.036283178922041,7.198413656402221
10,5,6,4,8,9,9,9,7,4,9,5,8,9,5,7.4,1.9078784028338913,7.0144021675594175,6.887886682984199
8,7,5,4,5,9,4,4,9,5,8,5,8,9,8,6.9,2.0223748416156684,7.009426224720339,6.417767770682302
4,7,7,8,5,6,7,10,7,4,6,7,9,8,8,7.2,1.6,7.027022270206902,6.8650218890950505
9,8,5,8,9,5,5,8,9,8,5,7,4,5,9,6.5,1.8027756377319946,7.016182568455133,7.323534668187197
6,6,6,6,10,7,7,7,6,6,10,7,9,8,9,7.6,1.2806248474865698,7.029903350181975,5.94968662856196
4,10,10,10,6,6,5,10,6,8,4,10,6,9,10,7.4,2.1540659228538015,7.03485085237857,7.2015036427668555
9,7,7,4,6,9,7,7,7,10,4,8,10,5,9,7.6,1.9078784028338913,7.013630948206173,6.937756131274399
6,6,8,5,8,9,10,10,8,4,10,7,8,5,7,7.8,1.98997487421324,7.0346117834262785,6.638604298799049
5,6,6,8,8,5,6,5,7,6,7,9,7,6,5,6.3,1.1874342087037917,7.036044359040642,6.311547013674928
5,7,5,8,9,9,4,4,4,4,8,4,6,10,4,5.7,2.2825424421026654,7.046122913816125,6.305131148038765
8,9,4,8,4,7,10,4,10,5,6,6,10,9,8,7.5,2.1095023109728985,7.013793097401901,7.554381643202531
7,5,9,5,4,7,10,6,5,4,6,5,4,8,6,6.1,1.7578395831246947,7.019108274666314,5.780342784804827
9,5,8,6,4,6,10,10,5,9,10,7,8,7,6,7.8,1.7776388834631176,7.015395678406188,7.197517355826309
5,4,10,4,9,7,4,8,7,4,5,7,8,4,7,6.1,1.57797338380595,7.012536432926332,5.891861674863292
10,9,6,10,8,5,7,4,7,8,6,4,4,4,4,5.3,1.4866068747318504,7.015633416877236,8.646353624102387
4,5,7,4,4,7,8,5,8,4,9,7,9,7,4,6.8,1.7776388834631178,7.031757567234233,4.746976088647119
6,8,7,10,10,7,4,8,10,6,7,4,9,4,9,6.8,2.1354156504062622,7.039783276284991,7.477169115447844
10,9,9,5,7,7,5,9,4,7,4,5,6,10,10,6.7,2.193171219946131,7.006079994395134,7.5303329323098165
10,9,5,8,5,5,8,7,5,6,4,7,9,5,6,6.2,1.4696938456699067,7.022965344864652,7.7827123846528625
9,6,6,10,6,5,8,10,10,7,4,6,5,7,5,6.7,2.0024984394500787,7.021026278459933,7.486159513241228
10,10,9,6,10,7,10,8,5,8,9,9,10,6,8,8.0,1.5491933384829668,7.012933323982753,9.275313432847183
7,8,5,5,9,7,6,5,5,7,4,4,5,10,10,6.3,2.1,7.02122613821791,6.711264603062799
6,6,10,4,10,7,4,8,5,9,8,7,9,8,4,6.9,1.8138357147217055,7.019226511580965,6.215952190516513
8,7,5,10,4,10,4,9,6,10,5,9,7,5,8,7.3,2.1,7.008741824339262,7.376485461070229
4,10,9,5,9,10,7,7,4,8,4,4,10,6,4,6.4,2.2891046284519194,7.040749406275468,6.519249300764712
7,4,4,8,7,5,7,10,4,9,5,8,7,10,9,7.4,2.0591260281974,7.025760787667545,5.890956633601718
4,7,5,6,4,10,10,9,8,9,5,10,8,10,9,8.8,1.4696938456699067,7.025255096066959,5.973273076460778
8,5,10,7,10,8,8,4,4,4,9,7,5,9,10,6.8,2.227105745132009,7.0408970914328055,7.118722115814473
9,5,10,4,7,4,8,9,8,10,8,8,6,7,5,7.3,1.7349351572897471,7.017119831805519,6.759383984566667
6,5,4,8,9,5,4,6,9,9,5,7,8,10,4,6.7,2.1,7.032672535218303,6.6022555752878125
7,5,5,6,6,7,5,6,4,5,9,4,5,9,10,6.4,2.1071307505705477,7.017269072782488,6.08389698813826
8,9,8,4,4,9,8,6,8,5,10,7,10,10,10,8.3,1.7349351572897471,7.015551688083798,7.258284746274271
8,9,8,9,9,8,7,9,5,6,7,5,7,8,5,6.7,1.3453624047073711,7.0252969079422245,7.794888136982698
10,7,9,6,9,8,4,5,7,4,8,8,7,4,10,6.5,2.0124611797498106,7.013207542080403,8.00142343498207
9,9,10,10,4,9,6,7,8,5,4,9,6,5,4,6.3,1.7916472867168918,6.999722212500387,8.08604656920691
